CurrentSEED,NewSEED,PM1,PM2,Type,
,REMOVE,Ability to Share Forward,abilityToShareForward,string,0
Premises Street Address 1,Premises Street Address,Address 1,,string,
Premises Street Address 2,Premises Street Additional Info,Address 2,,string,
"Adult Education - Computer Density (Number per 1,000 ft2)",,"Adult Education - Computer Density (Number per 1,000 ft2)",adultEducationComputerDensity,float,
Adult Education - Gross Floor Area (ft2),Component Higher Education Gross Floor Area,Adult Education - Gross Floor Area (ft2),adultEducationGrossFloorArea,float,
Adult Education - Number of Computers,Component Higher Education Computer Quantity,Adult Education - Number of Computers,adultEducationNumberOfComputers,float,
Adult Education - Number of Workers on Main Shift,Component Higher Education Workers on Main Shift Occupant Quantity,Adult Education - Number of Workers on Main Shift,adultEducationNumberOfWorkersOnMainShift,float,
Adult Education - Weekly Operating Hours,Component Higher Education Business Average Weekly Hours,Adult Education - Weekly Operating Hours,adultEducationWeeklyOperatingHours,float,
"Adult Education - Worker Density (Number per 1,000 ft2)",,"Adult Education - Worker Density (Number per 1,000 ft2)",adultEducationWorkerDensity,float,
Alternative Water Generated On-Site - Indoor Cost ($),Alternative Water Generated On-Site Indoor Water Cost,Alternative Water Generated On-Site - Indoor Cost ($),alternativeWaterGeneratedOnsiteIndoorCost,float,
Alternative Water Generated On-Site - Indoor Cost Intensity ($/ft2),Alternative Water Generated On-Site Indoor Water Cost Intensity,Alternative Water Generated On-Site - Indoor Cost Intensity ($/ft2),alternativeWaterGeneratedOnsiteIndoorCostIntensity,float,
Alternative Water Generated On-Site - Indoor Intensity (gal/ft2),Alternative Water Generated On-Site Indoor Water Intensity,Alternative Water Generated On-Site - Indoor Intensity (gal/ft2),alternativeWaterGeneratedOnsiteIndoorIntensity,float,
Alternative Water Generated On-Site - Indoor Use (kgal),Alternative Water Generated On-Site Indoor Resource Use,Alternative Water Generated On-Site - Indoor Use (kgal),alternativeWaterGeneratedOnsiteIndoorUse,float,
Alternative Water Generated On-Site - Outdoor Cost ($),Alternative Water Generated On-Site Outdoor Water Cost,Alternative Water Generated On-Site - Outdoor Cost ($),alternativeWaterGeneratedOnsiteOutdoorCost,float,
Alternative Water Generated On-Site - Outdoor Use (kgal),Alternative Water Generated On-Site Outdoor Resource Use,Alternative Water Generated On-Site - Outdoor Use (kgal),alternativeWaterGeneratedOnsiteOutdoorUse,float,
Alternative Water Generated On-Site: Combined Indoor/Outdoor or Other Cost ($),Alternative Water Generated On-Site Indoor Outdoor Other Water Cost,Alternative Water Generated On-Site: Combined Indoor/Outdoor or Other Cost ($),alternativeWaterGeneratedOnsiteAllCost,float,
Alternative Water Generated On-Site: Combined Indoor/Outdoor or Other Use (kgal),Alternative Water Generated On-Site Indoor Outdoor Other Resource Use,Alternative Water Generated On-Site: Combined Indoor/Outdoor or Other Use (kgal),alternativeWaterGeneratedOnsiteAllUse,float,
"Ambulatory Surgical Center - Computer Density (Number per 1,000 ft2)",,"Ambulatory Surgical Center - Computer Density (Number per 1,000 ft2)",ambulatorySurgicalCenterComputerDensity,float,
Ambulatory Surgical Center - Gross Floor Area (ft2),Component Outpatient Surgical Gross Floor Area,Ambulatory Surgical Center - Gross Floor Area (ft2),ambulatorySurgicalCenterGrossFloorArea,float,
Ambulatory Surgical Center - Number of Computers,Component Outpatient Surgical Computer Quantity,Ambulatory Surgical Center - Number of Computers,ambulatorySurgicalCenterNumberOfComputers,float,
Ambulatory Surgical Center - Number of Workers on Main Shift,Component Outpatient Surgical Workers on Main Shift Occupant Quantity,Ambulatory Surgical Center - Number of Workers on Main Shift,ambulatorySurgicalCenterNumberOfWorkersOnMainShift,float,
Ambulatory Surgical Center - Weekly Operating Hours,Component Outpatient Surgical Business Average Weekly Hours,Ambulatory Surgical Center - Weekly Operating Hours,ambulatorySurgicalCenterWeeklyOperatingHours,float,
"Ambulatory Surgical Center - Worker Density (Number per 1,000 ft2)",,"Ambulatory Surgical Center - Worker Density (Number per 1,000 ft2)",ambulatorySurgicalCenterWorkerDensity,float,
"Aquarium - Computer Density (Number per 1,000 ft2)",,"Aquarium - Computer Density (Number per 1,000 ft2)",aquariumComputerDensity,float,
Aquarium - Gross Floor Area (ft2),Component Vivarium Gross Floor Area,Aquarium - Gross Floor Area (ft2),aquariumGrossFloorArea,float,
Aquarium - Number of Computers,Component Vivarium Computer Quantity,Aquarium - Number of Computers,aquariumNumberOfComputers,float,
Aquarium - Number of Workers on Main Shift,Component Vivarium Workers on Main Shift Occupant Quantity,Aquarium - Number of Workers on Main Shift,aquariumNumberOfWorkersOnMainShift,float,
Aquarium - Weekly Operating Hours,Component Vivarium Business Average Weekly Hours,Aquarium - Weekly Operating Hours,aquariumWeeklyOperatingHours,float,
"Aquarium - Worker Density (Number per 1,000 ft2)",,"Aquarium - Worker Density (Number per 1,000 ft2)",aquariumWorkerDensity,float,
,Building Austin Building ID Identifier Value,Austin Building ID,,string,
,Premises Austin Property ID Identifier Value,Austin Property ID,,string,
"Automobile Dealership - Computer Density (Number per 1,000 ft2)",,"Automobile Dealership - Computer Density (Number per 1,000 ft2)",automobileDealershipComputerDensity,float,
Automobile Dealership - Gross Floor Area (ft2),Component Dry Good Retail Gross Floor Area,Automobile Dealership - Gross Floor Area (ft2),automobileDealershipGrossFloorArea,float,
Automobile Dealership - Number of Computers,Component Dry Good Retail Computer Quantity,Automobile Dealership - Number of Computers,automobileDealershipNumberOfComputers,float,
Automobile Dealership - Number of Workers on Main Shift,Component Dry Good Retail Workers on Main Shift Occupant Quantity,Automobile Dealership - Number of Workers on Main Shift,automobileDealershipNumberOfWorkersOnMainShift,float,
Automobile Dealership - Weekly Operating Hours,Component Dry Good Retail Business Average Weekly Hours,Automobile Dealership - Weekly Operating Hours,automobileDealershipWeeklyOperatingHours,float,
"Automobile Dealership - Worker Density (Number per 1,000 ft2)",,"Automobile Dealership - Worker Density (Number per 1,000 ft2)",automobileDealershipWorkerDensity,float,
Avoided Emissions - Offsite Green Power (MtCO2e),Offisite Renewable Avoided Emissions,Avoided Emissions - Offsite Green Power (Metric Tons CO2e),avoidedEmissionsOffSiteGreenPower,float,
Avoided Emissions - Onsite and Offsite Green Power (MtCO2e),Onsite Renewable Offsite Renewable Avoided Emissions,Avoided Emissions - Onsite and Offsite Green Power (Metric Tons CO2e),avoidedEmissionsOnSiteAndOffSiteGreenPower,float,
Avoided Emissions - Onsite Green Power (MtCO2e),Onsite Renewable Avoided Emissions,Avoided Emissions - Onsite Green Power (Metric Tons CO2e),avoidedEmissionsOnSiteGreenPower,float,
"Bank Branch - Computer Density (Number per 1,000 ft2)",,"Bank Branch - Computer Density (Number per 1,000 ft2)",bankBranchComputerDenisty,float,
Bank Branch - Gross Floor Area (ft2),Component Bank Gross Floor Area,Bank Branch - Gross Floor Area (ft2),bankBranchGrossFloorArea,float,
Bank Branch - Number of Computers,Component Bank Computer Quantity,Bank Branch - Number of Computers,bankBranchNumberOfComputers,float,
