Entity Name,Attribute Name,Description and Unit,Temp Name,Unit,Enum Entries,Data Type,Priority
Site,,,,,,,
,Name,Name of the entity,Name,,,string,1
,City,The city in which the site is located.,City,,,string,1
,State,The state in which the site is located.,StateEnum,,DC; AS; GU; CM; PR; VI; PTR; AL; AK; AZ; AR; CA; CO; CT; DE; FL; GA; HI; ID; IL; IN; IA; KS; KY; LA; ME; MD; MA; MI; MN; MS; MO; MT; NE; NV; NH; NJ; NM; NY; NC; ND; OH; OK; OR; PA; RI; SC; SD; TN; TX; UT; VT; VA; WA; WV; WI; WY,ENUM,1
,Postal Code,The postal code in which the site is located.,PostalCode,,,string,1
,County,"The county in which the site is located. If not known, can be derived from Postal Code.",County,,,string,2
,Country,The country in which the site is located.,Country,,,string,2
,Climate Zone,"The ASHRAE climate zone in which the site is located, or CBECS climate zones if ASHRAE climate zone is unavailable. If not known, can be derived from Postal Code.",ClimateZoneEnum,,1A Very Hot - Humid (Miami-FL);2A Hot - Humid (Houston-TX);2B Hot - Dry (Phoenix-AZ);3A Warm - Humid (Memphis-TN);3B Warm - Dry (El Paso-TX);3C Warm - Marine (San Francisco-CA);4A Mixed - Humid (Baltimore-MD);4B Mixed - Dry (Albuquerque-NM);4C Mixed - Marine (Salem-OR);5A Cool - Humid (Chicago-IL);5B Cool - Dry (Boise-ID);6A Cold - Humid (Burlington-VT);6B Cold -Dry (Helena-MT);7 Very Cold (Duluth-MN);8 Subarctic (Fairbanks-AK);CBECS - Zone 1;CBECS - Zone 2;CBECS - Zone 3;CBECS - Zone 4;CBECS - Zone 5,ENUM,1
,Elevation,Elevation of the site. [feet],Elevation,,,double,2
,Site Type,Type of site landscape.,SiteTypeEnum,,Rural;Suburban;Urban;Unknown,ENUM,2
,Number of Facilities,Total number of facilities on the site.,NumberOfFacilities,,,int,2
,Complex Type,"If the site hosts a complex, the main purpose or use of the complex as a whole.",ComplexTypeEnum,,College or University; Primary or secondary school (K-12); Other type of school; Office complex; Retail complex; Religious complex; Hospital or other health care complex; Lodging or resort complex; Post office complex; Other type of government complex; Industrial complex; Transportation complex; Multifamily; Other Or Combination; Unknown,ENUM,3
,School District,The school district the site pertains to.,SchoolDistrict,,,string,3
,eGrid Region,Emissions & Generation Resource Integrated Database (eGRID) region in which this site is located.,eGridRegion,,NWPP; CAMX; AZNM; RMPA; MROW; SPNO; SPSO; ERCT; MROE; SRMW; SRMV; RFCM; RFCW; SRTV; SRSO; NYUP; RFCE; SRVC; FRCC; NEWE; NYLI; NYCW; AKMS; AKGD; HIOA; HIMS,ENUM,3
,Tax Floor Area,The floor area for the site as defined by the tax records.,TaxFloorArea,,,int,3
,Site ID,Unique number identifying the site.,SiteID,,,string,4
,Address Field 1,Street Address or other address field.,AddressField1,,,string,4
,Address Field 2,Street Address or other address field.,AddressField2,,,string,4
,City ID Code,"Field can be used for any city identification code. There may be multiple City ID Codes, such as 3 for borough, block, and lot.",CityIdCode,,,string,4
,City ID Code Name,"Name of city identification code. There may be multiple City ID Code Names, such as 3 for ""Borough,"" ""Block,"" and ""Lot.""",CityIdCodeName,,,string,4
,Longitude,The angular distance of a place east or west of the meridian.,Longitude,,,double,4
,Latitude,The angular distance of a place north or south of the Earth's equator.,Latitude,,,double,4
,Commercial Facility,,CommercialFacility,,,Entity,5
,Residential Facility,,ResidentialFacility,,,Entity,5
ResidentialFacility,,,,,,,
,Name,Name of the entity,Name,,,string,1
,ID,Unique ID,ID,,,string,1
