Field Name,Units
Energy Cost,Dollars
Energy Cost Intensity,Dollars
National Median Energy Cost,Dollars
Total Water Cost (All Water Types),Dollars
Indoor Water Cost (All Water Types),Dollars
Indoor Water Cost Intensity (All Water Types),Dollars/ft2
Outdoor Water Cost (All Water Types),Dollars
"Investment in Energy Projects, Cumulatve",Dollars
"Investment in Energy Projects, Cumulatve",Dollars/ft2
"Water/Wastewater Investment in Energy Projects, Cumulative",Dollars/GPD
"Estimated Savings from Energy Projects, Cumulative",Dollars
"Estimated Savings from Energy Projects, Cumulative",Dollars/ft2
"Water/Wastewater Estimated Savings from Energy Projects, Cumulative",Dollars/GPD
Electricity (Grid Purchase) Cost,Dollars
Natural Gas Cost,Dollars
Fuel Oil (No. 1) Cost,Dollars
Fuel Oil (No. 2) Cost,Dollars
Fuel Oil (No. 4) Cost,Dollars
Fuel Oil (No. 5 and No. 6) Cost,Dollars
Diesel Cost,Dollars
Kerosene Cost,Dollars
Propane Cost,Dollars
Liquid Propane Cost,Dollars
District Steam Cost,Dollars
District Hot Water Cost,Dollars
District Chilled Water Cost,Dollars
Coal (anthracite) Cost,Dollars
Coal (bituminous) Cost,Dollars
Coke Cost,Dollars
Wood Cost,Dollars
Other Energy Cost,Dollars
Municipally Supplied Potable Water – All Cost,Dollars
Municipally Supplied Potable Water – Indoor Cost,Dollars
Municipally Supplied Potable Water – Indoor Cost Intensity,Dollars/ft2
Municipally Supplied Potable Water – Outdoor Cost,Dollars
Municipally Supplied Reclaimed Water – All Cost,Dollars
Municipally Supplied Reclaimed Water – Indoor Cost,Dollars
Municipally Supplied Reclaimed Water – Indoor Cost Intensity,Dollars/ft2
Municipally Supplied Reclaimed Water – Outdoor Cost,Dollars
Alternative Water Generated On-Site – All Cost,Dollars
Alternative Water Generated On-Site – Indoor Cost,Dollars
Alternative Water Generated On-Site – Indoor Cost Intensity,Dollars/ft2
Alternative Water Generated On-Site – Outdoor Cost,Dollars
Other Water Sources – All Cost,Dollars
Other Water Sources – Indoor Cost,Dollars
Other Water Sources – Indoor Cost Intensity,Dollars/ft2
Other Water Sources – Outdoor Cost,Dollars
Energy Alerts,
Property Use Detail Alerts,
Water Alerts,
Estimated Data Flag - Electricity Use - Grid Purchase,
Estimated Data Flag - Electricity Use - Onsite Renewable System Electricity Used Onsite/Coincident,
Estimated Data Flag - Natural Gas,
Estimated Data Flag - Fuel Oil (No. 1),
Estimated Data Flag - Fuel Oil (No. 2),
Estimated Data Flag - Fuel Oil (No. 4),
Estimated Data Flag - Fuel Oil (No. 5 and No. 6),
Estimated Data Flag - Diesel,
Estimated Data Flag - Kerosene,
Estimated Data Flag - Propane,
Estimated Data Flag - Liquid Propane,
Estimated Data Flag - District Steam,
Estimated Data Flag - District Hot Water,
Estimated Data Flag - District Chilled Water,
Estimated Data Flag - Coal (anthracite),
Estimated Data Flag - Coal (bituminous),
Estimated Data Flag - Coke,
Estimated Data Flag - Wood,
Estimated Data Flag - Other Energy,
Estimated Data Flag - Municipally Supplied Potable Water – All Use,
Estimated Data Flag - Municipally Supplied Potable Water – Indoor Use,
Estimated Data Flag - Municipally Supplied Potable Water – Outdoor Use,
Estimated Data Flag - Municipally Supplied Reclaimed Water – All Use,
Estimated Data Flag - Municipally Supplied Reclaimed Water – Indoor Use,
Estimated Data Flag - Municipally Supplied Reclaimed Water – Outdoor Use,
Estimated Data Flag - Alternative Water Generated On-Site – All Use,
Estimated Data Flag - Alternative Water Generated On-Site – Indoor Use,
Estimated Data Flag - Alternative Water Generated On-Site – Outdoor Use,
Estimated Data Flag - Other Water Sources – All Use,
Estimated Data Flag - Other Water Sources – Indoor Use,
Estimated Data Flag - Other Water Sources – Outdoor Use,
Estimated Data Flag - Data Center UPS Output Site Energy,
Estimated Data Flag - Data Center PDU Input Site Energy,
Estimated Data Flag - Data Center PDU Output Site Energy,
Estimated Data Flag - Data Center IT Equipment Input Site Energy,
Estimated Data Flag - Plant Flow Meter,
Default Data Flag - Bank Branch,
Default Data Flag - Barracks,
Default Data Flag - Courthouse,
Default Data Flag - Data Center,
Default Data Flag - Distribution Center,
Default Data Flag - Financial Office,
Default Data Flag - Hospital (General Medical & Surgical),
Default Data Flag - Hotel,
Default Data Flag - K-12 School,
Default Data Flag - Medical Office,
Default Data Flag - Non-Refrigerated Warehouse,
Default Data Flag - Office,
Default Data Flag - Refrigerated Warehouse,
Default Data Flag - Residence Hall/Dormitory,
Default Data Flag - Retail Store,
Default Data Flag - Senior Care Community,
Default Data Flag - Supermarket/Grocery Store,
Default Data Flag - Wastewater Treatment Plant,
Default Data Flag - Wholesale Club/Supercenter,
Default Data Flag - Worship Facility,
Temporary Data Flag - Adult Education,
Temporary Data Flag - Ambulatory Surgical Center,
Temporary Data Flag - Aquarium,
Temporary Data Flag - Automobile Dealership,
Temporary Data Flag - Bank Branch,
Temporary Data Flag - Bar/Nightclub,
Temporary Data Flag - Barracks,
Temporary Data Flag - Bowling Alley,
Temporary Data Flag - Casino,
Temporary Data Flag - College/University,
Temporary Data Flag - Convenience Store with Gas Station,
Temporary Data Flag - Convenience Store without Gas Station,
Temporary Data Flag - Convention Center,
Temporary Data Flag - Courthouse,
Temporary Data Flag - Data Center,
Temporary Data Flag - Distribution Center,
Temporary Data Flag - Drinking Water Treatment & Distribution,
Temporary Data Flag - Enclosed Mall,
Temporary Data Flag - Energy/Power Station,
Temporary Data Flag - Fast Food Restaurant,
Temporary Data Flag - Financial Office,
Temporary Data Flag - Fire Station,
Temporary Data Flag - Fitness Center/Health Club/Gym,
Temporary Data Flag - Food Sales,
Temporary Data Flag - Food Service,
Temporary Data Flag - Hospital (General Medical & Surgical),
Temporary Data Flag - Hotel,
Temporary Data Flag - Ice/Curling Rink,
Temporary Data Flag - Indoor Arena,
Temporary Data Flag - K-12 School,
Temporary Data Flag - Laboratory,
Temporary Data Flag - Library,
Temporary Data Flag - Lifestyle Center,
Temporary Data Flag - Mailing Center/Post Office,
Temporary Data Flag - Manufacturing/Industrial Plant,
Temporary Data Flag - Medical Office,
Temporary Data Flag - Movie Theater,
Temporary Data Flag - Multifamily Housing,
Temporary Data Flag - Museum,
Temporary Data Flag - Non-Refrigerated Warehouse,
Temporary Data Flag - Office,
Temporary Data Flag - Other,
Temporary Data Flag - Other - Education,
Temporary Data Flag - Other - Entertainment/Public Assembly,
Temporary Data Flag - Other - Lodging/Residential,
Temporary Data Flag - Other - Mall,
Temporary Data Flag - Other - Public Services,
Temporary Data Flag - Other - Recreation,
Temporary Data Flag - Other - Restaurant/Bar,
Temporary Data Flag - Other - Services,
Temporary Data Flag - Other - Stadium,
Temporary Data Flag - Other - Technology/Science,
Temporary Data Flag - Other - Utility,
Temporary Data Flag - Other/Speciality Hospital,
Temporary Data Flag - Outpatient Rehabilitation/Physical Therapy,
