ID,Building ID,Final Clean UBI
1,3999815,00500085
2,2874425,00544047
3,2394435,00730883
4,20164,00750861
5,1800460,00780847
6,3488404,00860844
8,3510072,01040835
9,3518106,01380013
10,1411409,01620037
11,3512670,01660863
12,3281658,01860041
13,3480699,01880006
14,3498223,02120850
15,3519739,02120851
16,1337470,02210809
17,1215025,02540838
18,3518107,02830826
19,2371512,03173086
20,1215024,03190863
21,1784866,03430831
22,1045335,04030836
23,2730803,04073046
24,2730721,04073046
25,1720876,04561960
26,3221022,04563068
27,2222721,04590820
28,3512757,04863050
29,3497644,05160862
30,2807339,0516S0861
31,2590110,05420870
32,3510427,06270013
33,1707454,06310809
34,1773213,06720847
35,2058465,06720849
36,2058465,06720856
37,3419984,0699N2972
38,2482515,07110809
39,2865350,07490828
40,3273657,07512930
41,3262071,08590837
42,3262099,08590837
43,3505445,13210824
44,3505513,13210824
45,3506412,13210824
46,3504438,13210824
47,3497717,13210827
48,3502509,13210827
49,3500721,13210827
50,3497170,13210827
51,3501273,13210827
52,3506424,13210827
53,3496730,13210827
54,3511781,13210827
55,3496501,13210827
56,3496717,13210827
57,3496677,13210827
58,3496780,13210827
59,3496816,13210827
60,3506399,13210827
61,3506383,13210827
62,3496621,13210827
63,3508616,16992425
64,3500400,18020823
65,3504029,18051068
66,3493385,22140807
67,3504813,25720036
68,2986561,26741933
69,3072203,26770811
70,2865356,29000824
71,2008147,37000045
72,3512189,38480824
73,3512189,38487000
74,1953,02480830
75,2214,02900861
76,5829,01830857
77,6768,01260057
78,11064,00740049
79,12407,03480832
80,13149,00720076
81,16591,01060049
82,16714,02230026
83,16807,02890832
84,16885,02140103
85,17803,01620095
86,19680,02130017
87,20056,31290803
88,20164,00750044
89,23232,01660041
90,23246,01660033
91,25020,00140068
92,25204,01160073
93,25506,06990028
94,27448,00850060
95,29225,03210027
96,30431,02150012
97,1029531,04570039
98,1030273,04570039
99,1030402,00420054
100,1034322,01970853
101,1034332,01970854
102,1043010,02140109
103,1045335,04030019
104,1050505,01400089
105,1056237,01380804
106,1061926,01620092
108,1069662,06750853
109,1069664,04030839
110,1070151,02850049
111,1071004,02180079
112,1071476,01390816
113,1071644,00760085
114,1071813,00700190
115,1071901,00990053
116,1072055,00260011
117,1122112,01620096
118,1124469,02230025
119,1127988,01590860
120,1146829,03770044
121,1159361,01070075
122,1163866,00080811
123,1180478,02890830
124,1180513,02870038
125,1188995,02850048
127,1189000,05380873
128,1192428,04570038
129,1196655,02200066
130,1205203,01840071
131,1214094,02520085
132,1215024,03190024
133,1215025,02540052
135,1221854,02520085
136,1229576,01000116
137,1229621,01000118
138,1229780,02480069
139,1230827,01000119
140,1250856,02140108
141,1253867,03860001
142,1257635,03160032
143,1257638,02170050
144,1257639,01640035
145,1257640,01610037
146,1257641,01610031
147,1257643,01600035
148,1257644,01420825
149,1257646,00740832
150,1268752,01400092
151,1268800,01960035
152,1273006,02520079
153,1273027,02520060
154,1273462,03711349
155,1309871,06760114
156,1311349,06690854
157,1326117,05180103
158,1326383,01620099
159,1326398,00720074
160,1326888,01360035
161,1326900,03760828
162,1326957,01370056
163,1327012,04050024
164,1327025,00240112
165,1327939,01680050
166,1328161,03750125
167,1330640,01850828
168,1331462,01050845
169,1331555,02480812
170,1334627,11910071
171,1334631,06750841
172,1337470,02210022
173,1340568,02530059
174,1341848,04890021
175,1342182,05740025
176,1345607,06220089
177,1347006,02480075
178,1347061,03870868
179,1348840,06770146
180,1356329,01170080
181,1356732,02470092
182,1356874,02160033
183,1356879,01260060
184,1356880,01260830
185,1357840,06300071
186,1368706,01180818
187,1378102,04050026
188,1378775,05370811
189,1380075,00760088
190,1384590,03450041
191,1389055,02540835
192,1389067,02540839
193,1390065,02230024
194,1390715,02500857
195,1390727,01860810
196,1391419,06750855
197,1391567,00132073
198,1396892,01840804
199,1396919,01070077
200,1396921,02240824
201,1397164,02180077
202,1397627,02500841
203,1398167,03220020
204,1404504,07120111
205,1406610,01680823
206,1406853,06750847
207,1407276,02900044
208,1407852,02880846
209,1409004,06260078
210,1409873,01840849
211,1411430,02200067
212,1411897,01840074
213,1413138,01610038
214,1413613,06130010
215,1415263,00430026
216,1416427,00550855
217,1418352,00770060
218,1418391,00550855
219,1419589,03200814
220,1419646,01620100
221,1419667,02860041
222,1419693,01060048
223,1419760,00280000
224,1419778,00060825
225,1419812,01220029
226,1420061,02540053
227,1420135,05380874
228,1420813,01010058
229,1421555,01570850
230,1423276,01260062
231,1423296,02510012
232,1423392,01980846
233,1423464,01620077
234,1423516,25350831
235,1423556,25350830
236,1423599,00780848
237,1423627,01840069
238,1423975,01850042
239,1424750,06260079
240,1425442,02520083
241,1427108,03270841
242,1427938,02140859
243,1428777,07420039
244,1429585,20490805
245,1431050,01620821
246,1431261,01070074
247,1431417,01400907
248,1433767,02470101
249,1434327,06980032
250,1435477,03720034
251,1435721,02500047
252,1436116,01380803
253,1436134,04950107
254,1436140,04630024
255,1436314,02240022
256,1436368,04070815
257,1443570,16010006
258,1446135,04280020
259,1447242,06770145
260,1448823,17860821
261,1454748,05690865
262,1456708,07700809
263,1470509,01400090
264,1479517,05370810
266,1492661,02470096
267,1494464,04860833
268,1497284,00720075
269,1498178,05360054
270,1502748,05650020
271,1525528,02220027
272,1532643,05690864
273,1544020,04060026
274,1551671,01001617
275,1556347,01160074
276,1556355,01690070
277,1562783,11850081
278,1567527,02530844
279,1569687,01400095
280,1583318,02990832
281,1583321,06250061
282,1583325,02670042
283,1583329,02990833
284,1597342,01260058
285,1600732,00700195
286,1620667,06750832
287,1641990,01260852
288,1649511,00240871
289,1657117,01660038
290,1675389,01970855
291,1707265,01270053
292,1707454,06310017
293,1711353,16610817
294,1717883,01370059
295,1720876,04560040
296,1733119,00250021
297,1733134,01000897
298,1749204,16600812
299,1769596,04030838
300,1769597,04030837
301,1773213,06720246
302,1774495,01820828
303,1774496,18230009
304,1784866,03430025
305,1787720,03270840
307,1811655,03470022
308,1852852,06250060
309,1856025,02140102
310,1865876,01690071
311,1873494,01980845
312,1960203,07200824
313,1960252,07200825
314,1984865,01170075
315,1997814,01150084
316,2008126,04870017
317,2008136,38400023
318,2008147,37000045
319,2015806,01650028
320,2028126,06770142
321,2035970,02530068
322,2222721,04590019
323,2223689,02220814
324,2226415,18020024
325,2236387,01050844
326,2256771,01810161
327,2256973,01270843
328,2256994,16660804
329,2265015,00770060
330,2265100,00420055
331,2266003,00800056
332,2266039,00560030
333,2266081,00770059
334,2266110,00410040
335,2285518,01150085
336,2292586,01010062
337,2293694,00570056
338,2296874,01020046
339,2362274,01640036
340,2364583,01390074
