,Org ID,Building Snapshot Field name,Building snapshot extra data field key,Bluesky table name,Bluesky Field Name,Data Source,,Multiple Tax Lot data source
,City of Cambridge,,,,,,"RM (6/17/2016): Send Bronwyn email to edit the gdoc with her fields in it
6/20/2016: this represents first cut for Nathan to use to get his procedure figured out",
1,69,,,Property,extra_data,CBL,,
1,69,,K-12 School - Number of Workers on Main Shift,Property,extra_data,CBL,,
1,69,,Restaurant - Weekly Operating Hours,Property,extra_data,CBL,,
1,69,,Worship Facility - Cooking Facilities,Property,extra_data,CBL,,
1,69,,"Retail Store - Computer Density (Number Per 1,000 Ft2)",Property,extra_data,CBL,,
1,69,,Hospital (General Medical & Surgical) - Number of MRI Machines,Property,extra_data,CBL,,
1,69,,Hotel - Type of Laundry Facility,Property,extra_data,CBL,,
1,69,,"Hospital (General Medical & Surgical) - Licensed Bed Capacity Density (Number Per 1,000 Ft2)",Property,extra_data,CBL,,
1,69,,Property GFA - EPA Calculated (Buildings) (ft2),Property,extra_data,CBL,,
1,69,,Retail Store - Weekly Operating Hours,Property,extra_data,CBL,,
1,69,,K-12 School - Cooking Facilities,Property,extra_data,CBL,,
1,69,,Avoided Emissions - Offsite Green Power (Metric Tons CO2e),Property,extra_data,CBL,,
1,69,,Laboratory - Number of Workers on Main Shift,Property,extra_data,CBL,,
1,69,,Alert - Individual Monthly Meter Entry Is More Than 65 Days Long,Property,extra_data,CBL,,
1,69,,Worship Facility - Seating Capacity,Property,extra_data,CBL,,
1,69,,"Multifamily Housing - Total Number Of Residential Living Units Density (Number Per 1,000 Ft2)",Property,extra_data,CBL,,
1,69,,Worship Facility - Number of Commercial Refrigeration/Freezer Units,Property,extra_data,CBL,,
1,69,,2nd Largest Property Use - Gross Floor Area (ft2),Property,extra_data,CBL,,
1,69,,"Retail Store - Cash Register Density (Number Per 1,000 Ft2)",Property,extra_data,CBL,,
1,69,,Office - Number of Computers,Property,extra_data,CBL,,
1,69,,"College/University - Computer Density (Number Per 1,000 Ft2)",Property,extra_data,CBL,,
1,69,,Office - Weekly Operating Hours,Property,extra_data,CBL,,
1,69,,Residence Hall/ Dormitory - Dining Hall,Property,extra_data,CBL,,
1,69,,Multifamily Housing - Percent That Can Be Cooled,Property,extra_data,CBL,,
1,69,,Hospital (General Medical & Surgical) - Percent That Can Be Cooled,Property,extra_data,CBL,,
1,69,,Retail Store - Number of Computers,Property,extra_data,CBL,,
1,69,,Office - Percent That Can Be Cooled,Property,extra_data,CBL,,
1,69,,Hotel - Percent That Can Be Heated,Property,extra_data,CBL,,
1,69,,Laboratory - Weekly Operating Hours,Property,extra_data,CBL,,
1,69,,Property GFA - EPA Calculated (Buildings And Parking) (ft2),Property,extra_data,CBL,,
1,69,,List Of All Property Use Types At Property,Property,extra_data,CBL,,
1,69,,Property GFA - Self-Reported (ft2),Property,extra_data,CBL,,
1,69,,"Laboratory - Worker Density (Number Per 1,000 Ft2)",Property,extra_data,CBL,,
1,69,,"Worship Facility - Commercial Refrigeration Density (Number Per 1,000 Ft2)",Property,extra_data,CBL,,
1,69,,Restaurant - Number of Computers,Property,extra_data,CBL,,
1,69,,K-12 School - Number of Walk-in Refrigeration/Freezer Units,Property,extra_data,CBL,,
1,69,,ENERGY STAR Certification - Last Approval Date,Property,extra_data,CBL,,
1,69,,Hotel - Percent That Can Be Cooled,Property,extra_data,CBL,,
1,69,,"Hotel - Worker Density (Number Per 1,000 Ft2)",Property,extra_data,CBL,,
1,69,,Multifamily Housing - Number Of Residential Living Units In A Mid-Rise Setting (5-9 Stories),Property,extra_data,CBL,,
1,69,,Multifamily Housing - Resident Population Type,Property,extra_data,CBL,,
1,69,,"Multifamily Housing - Number Of Residential Living Units In A High-Rise Setting Density (Number Per 1,000 Ft2)",Property,extra_data,CBL,,
1,69,,Multifamily Housing - Percent That Can Be Heated,Property,extra_data,CBL,,
1,69,,Largest Property Use Type,Property,extra_data,CBL,,
1,69,,"Restaurant - Computer Density (Number Per 1,000 Ft2)",Property,extra_data,CBL,,
1,69,,Alert - Meter Has Gaps,Property,extra_data,CBL,,
1,69,,Residence Hall/Dormitory - Number of Rooms,Property,extra_data,CBL,,
1,69,,% Difference From National Median Site EUI,Property,extra_data,CBL,,
1,69,,"Office - Computer Density (Number Per 1,000 Ft2)",Property,extra_data,CBL,,
1,69,,3rd Largest Property Use Type - Gross Floor Area (ft2),Property,extra_data,CBL,,
1,69,,"K-12 School - Refrigeration Density (Number Per 1,000 Ft2)",Property,extra_data,CBL,,
1,69,,Residence Hall/Dormitory - Percent That Can Be Heated,Property,extra_data,CBL,,
1,69,,"Residence Hall/Dormitory - Room Density (Number Per 1,000 Ft2)",Property,extra_data,CBL,,
1,69,,Avoided Emissions - Onsite Green Power (Metric Tons CO2e),Property,extra_data,CBL,,
1,69,,Hotel - Hours Per Day Guests Onsite,Property,extra_data,CBL,,
1,69,,Hospital (General Medical & Surgical) - Number of Staffed Beds,Property,extra_data,CBL,,
1,69,,Estimated Data Flag - Municipally Supplied Potable Water: Mixed Indoor/Outdoor Use,Property,extra_data,CBL,,
1,69,,National Median Total GHG Emissions (Metric Tons CO2e),Property,extra_data,CBL,,
1,69,,Laboratory - Number of Computers,Property,extra_data,CBL,,
1,69,,Data Center - IT Energy Configuration,Property,extra_data,CBL,,
1,69,,Hospital (General Medical & Surgical) - Owned By,Property,extra_data,CBL,,
1,69,,"Restaurant - Worker Density (Number Per 1,000 Ft2)",Property,extra_data,CBL,,
1,69,,Data Quality Checker Run?,Property,extra_data,CBL,,
1,69,,Property GFA - EPA Calculated (Parking) (ft2),Property,extra_data,CBL,,
1,69,,Office - Percent That Can Be Heated,Property,extra_data,CBL,,
1,69,,3rd Largest Property Use Type,Property,extra_data,CBL,,
1,69,,Retail Store - Number of Workers on Main Shift,Property,extra_data,CBL,,
1,69,,2nd Largest Property Use Type,Property,extra_data,CBL,,
1,69,,Hotel - Number Of Rooms,Property,extra_data,CBL,,
1,69,,"Laboratory - Computer Density (Number Per 1,000 Ft2)",Property,extra_data,CBL,,
1,69,,Hotel - Number Of Guest Meals Served Per Year,Property,extra_data,CBL,,
1,69,,Hospital (General Medical & Surgical) - Percent That Can Be Heated,Property,extra_data,CBL,,
1,69,,Data Center - PUE,Property,extra_data,CBL,,
1,69,,Multifamily Housing - Number Of Laundry Hookups In Common Area(s),Property,extra_data,CBL,,
1,69,,K-12 School - Months in Use,Property,extra_data,CBL,,
1,69,,"Worship Facility - Computer Density (Number Per 1,000 Ft2)",Property,extra_data,CBL,,
1,69,,Retail Store - Percent That Can Be Heated,Property,extra_data,CBL,,
1,69,,Data Center - UPS Output Meter (kWh),Property,extra_data,CBL,,
1,69,,College/University - Number of Computers,Property,extra_data,CBL,,
1,69,,Retail Store - Exterior Entrance to the Public,Property,extra_data,CBL,,
1,69,,"Retail Store - Walk-in Refrigeration Density (Number Per 1,000 Ft2)",Property,extra_data,CBL,,
1,69,,"Retail Store - Open Or Closed Refrigeration Density (Number Per 1,000 Ft2)",Property,extra_data,CBL,,
1,69,,Retail Store - Number of Walk-in Refrigeration/Freezer Units,Property,extra_data,CBL,,
1,69,,Hospital (General Medical & Surgical)- Full Time Equivalent (FTE) Workers,Property,extra_data,CBL,,
1,69,,Retail Store - Area Of All Walk-in Refrigeration/Freezer Units (ft2),Property,extra_data,CBL,,
