id,from_buildingsnapshot_id,to_buildingsnapshot_id
396344,4746213,4747349
396345,4747348,4747349
396346,4746321,4747350
396347,4747347,4747350
676304,6384569,6463786
396348,4746323,4747351
396349,4747346,4747351
396350,4746320,4747352
396351,4747345,4747352
396352,4746322,4747353
396353,4747344,4747353
396354,4746318,4747354
396355,4747343,4747354
396356,4746316,4747355
396357,4747342,4747355
396358,4746317,4747356
396359,4747341,4747356
396360,4746319,4747357
396361,4747340,4747357
396362,4746314,4747358
396363,4747339,4747358
396364,4746312,4747359
396365,4747338,4747359
396366,4746315,4747360
396367,4747337,4747360
396368,4746313,4747361
396369,4747336,4747361
396370,4746308,4747362
396371,4747335,4747362
396372,4746310,4747363
396373,4747334,4747363
396374,4746311,4747364
396375,4747333,4747364
396376,4746304,4747365
396377,4747332,4747365
396378,4746307,4747366
396379,4747331,4747366
396380,4746305,4747367
396381,4747330,4747367
396382,4746309,4747368
396383,4747329,4747368
396384,4746303,4747369
396385,4747328,4747369
396386,4746301,4747370
396387,4747327,4747370
396388,4746300,4747371
396389,4747326,4747371
396390,4746306,4747372
396391,4747325,4747372
396392,4746299,4747373
396393,4747324,4747373
396394,4746297,4747374
396395,4747323,4747374
396396,4746296,4747375
396397,4747322,4747375
396398,4746302,4747376
396399,4747321,4747376
396400,4746293,4747377
396401,4747320,4747377
396402,4746292,4747378
396403,4747319,4747378
396404,4746295,4747379
396405,4747318,4747379
396406,4746298,4747380
396407,4747317,4747380
396408,4746289,4747381
396409,4747316,4747381
396410,4746288,4747382
396411,4747315,4747382
396412,4746294,4747383
396413,4747314,4747383
396414,4746291,4747384
396415,4747313,4747384
396416,4746285,4747385
396417,4747312,4747385
396418,4746287,4747386
396419,4747311,4747386
396420,4746284,4747387
396421,4747310,4747387
396422,4746290,4747388
396423,4747309,4747388
396424,4746281,4747389
396425,4747308,4747389
396426,4746280,4747390
396427,4747307,4747390
396428,4746283,4747391
396429,4747306,4747391
396430,4746286,4747392
396431,4747305,4747392
396432,4746278,4747393
396433,4747304,4747393
396434,4746282,4747394
396435,4747303,4747394
396436,4746276,4747395
396437,4747302,4747395
396438,4746279,4747396
396439,4747301,4747396
396440,4746272,4747397
396441,4747300,4747397
396442,4746277,4747398
396443,4747299,4747398
396444,4746273,4747399
396445,4747298,4747399
396446,4746275,4747400
396447,4747297,4747400
396448,4746268,4747401
396449,4747296,4747401
396450,4746267,4747402
396451,4747295,4747402
396452,4746274,4747403
396453,4747294,4747403
396454,4746271,4747404
396455,4747293,4747404
396456,4746264,4747405
396457,4747292,4747405
396458,4746263,4747406
396459,4747291,4747406
396460,4746269,4747407
396461,4747290,4747407
396462,4746270,4747408
396463,4747289,4747408
396464,4746260,4747409
396465,4747288,4747409
396466,4746259,4747410
396467,4747287,4747410
396468,4746266,4747411
396469,4747286,4747411
396470,4746265,4747412
396471,4747285,4747412
396472,4746255,4747413
396473,4747284,4747413
396474,4746256,4747414
396475,4747283,4747414
396476,4746261,4747415
396477,4747282,4747415
396478,4746262,4747416
396479,4747281,4747416
396480,4746252,4747417
396481,4747280,4747417
396482,4746251,4747418
396483,4747279,4747418
396484,4746257,4747419
396485,4747278,4747419
396486,4746258,4747420
396487,4747277,4747420
396488,4746247,4747421
396489,4747276,4747421
396490,4746249,4747422
396491,4747275,4747422
396492,4746253,4747423
396493,4747274,4747423
396494,4746254,4747424
396495,4747273,4747424
396496,4746243,4747425
396497,4747272,4747425
396498,4746244,4747426
396499,4747271,4747426
396500,4746248,4747427
396501,4747270,4747427
396502,4746250,4747428
396503,4747269,4747428
396504,4746239,4747429
396505,4747268,4747429
396506,4746240,4747430
396507,4747267,4747430
396508,4746245,4747431
396509,4747266,4747431
396510,4746246,4747432
396511,4747265,4747432
396512,4746236,4747433
396513,4747264,4747433
396514,4746230,4747434
396515,4747263,4747434
396516,4746241,4747435
396517,4747262,4747435
396518,4746228,4747436
396519,4747261,4747436
396520,4746234,4747437
396521,4747260,4747437
396522,4746233,4747438
396523,4747259,4747438
396524,4746242,4747439
396525,4747258,4747439
396526,4746235,4747440
396527,4747257,4747440
396528,4746231,4747441
396529,4747256,4747441
396530,4746226,4747442
396531,4747255,4747442
396532,4746238,4747443
396533,4747254,4747443
396534,4746224,4747444
396535,4747253,4747444
396536,4746229,4747445
396537,4747252,4747445
396538,4746220,4747446
396539,4747251,4747446
396540,4746221,4747447
396541,4747250,4747447
396542,4746222,4747448
396543,4747249,4747448
396544,4746237,4747449
396545,4747248,4747449
396546,4746216,4747450
396547,4747247,4747450
396548,4746232,4747451
396549,4747246,4747451
396550,4746214,4747452
396551,4747245,4747452
396552,4746223,4747453
396553,4747244,4747453
396554,4746218,4747454
396555,4747243,4747454
396556,4746212,4747455
396557,4747242,4747455
396558,4746324,4747456
396559,4747241,4747456
396560,4746227,4747457
396561,4747240,4747457
396562,4746225,4747458
396563,4747239,4747458
396564,4746215,4747459
396565,4747238,4747459
396566,4746209,4747460
396567,4747237,4747460
396568,4746217,4747461
396569,4747236,4747461
396570,4746219,4747462
396571,4747235,4747462
396572,4746206,4747463
396573,4747234,4747463
396574,4746197,4747464
396575,4747233,4747464
396576,4746211,4747465
396577,4747232,4747465
396578,4746151,4747466
396579,4747231,4747466
396580,4746210,4747467
396581,4747229,4747467
396582,4745828,4747468
396583,4747230,4747468
396584,4746171,4747469
396585,4747228,4747469
396586,4746193,4747470
396587,4747227,4747470
396588,4745820,4747471
396589,4747226,4747471
396590,4745834,4747472
396591,4747225,4747472
396592,4746182,4747473
396593,4747224,4747473
396594,4745830,4747474
396595,4747223,4747474
396596,4745832,4747475
396597,4747222,4747475
396598,4746203,4747476
396599,4747221,4747476
396600,4746156,4747477
396601,4747220,4747477
396602,4746135,4747478
396603,4747219,4747478
396604,4746202,4747479
396605,4747218,4747479
396606,4746200,4747480
396607,4747215,4747480
396608,4745817,4747481
396609,4747216,4747481
396610,4746208,4747482
396611,4747217,4747482
396612,4746194,4747483
396613,4747214,4747483
396614,4746207,4747484
396615,4747212,4747484
396616,4746178,4747485
396617,4747213,4747485
396618,4746155,4747486
396619,4747211,4747486
396620,4746205,4747487
396621,4747210,4747487
396622,4746167,4747488
396623,4747208,4747488
396624,4746204,4747489
396625,4747209,4747489
396626,4746121,4747490
396627,4747207,4747490
396628,4746201,4747491
396629,4747206,4747491
396630,4746145,4747492
396631,4747205,4747492
396632,4746189,4747493
396633,4747204,4747493
396634,4746192,4747494
396635,4747203,4747494
396636,4746163,4747495
396637,4747202,4747495
396638,4746190,4747496
396639,4747201,4747496
396640,4746181,4747497
396641,4747199,4747497
396642,4746198,4747498
396643,4747200,4747498
396644,4746185,4747499
396645,4747198,4747499
396646,4746180,4747500
396647,4747197,4747500
396648,4746144,4747501
396649,4747195,4747501
396650,4746195,4747502
396651,4747196,4747502
396652,4746146,4747503
396653,4747194,4747503
396654,4746177,4747504
396655,4747193,4747504
396656,4746196,4747505
396657,4747192,4747505
396658,4746191,4747506
396659,4747191,4747506
396660,4746174,4747507
396661,4747190,4747507
396662,4746106,4747508
396663,4747189,4747508
396664,4746119,4747509
396665,4747188,4747509
396666,4746157,4747510
396667,4747185,4747510
396668,4746187,4747511
396669,4747187,4747511
396670,4746170,4747512
396671,4747186,4747512
396672,4746173,4747513
396673,4747184,4747513
396674,4746130,4747514
396675,4747182,4747514
396676,4746183,4747515
396677,4747181,4747515
396678,4746128,4747516
396679,4747183,4747516
396680,4746165,4747517
396681,4747180,4747517
396682,4746148,4747518
396683,4747179,4747518
396684,4746161,4747519
396685,4747177,4747519
396686,4746179,4747520
396687,4747178,4747520
396688,4746176,4747521
396689,4747176,4747521
396690,4746091,4747522
396691,4747175,4747522
396692,4746105,4747523
396693,4747173,4747523
396694,4746159,4747524
396695,4747174,4747524
396696,4746175,4747525
396697,4747172,4747525
396698,4746152,4747526
396699,4747171,4747526
396700,4746154,4747527
396701,4747170,4747527
396702,4746172,4747528
396703,4747169,4747528
396704,4746147,4747529
396705,4747168,4747529
396706,4746158,4747530
396707,4747167,4747530
396708,4746168,4747531
396709,4747166,4747531
396710,4746118,4747532
396711,4747165,4747532
396712,4746113,4747533
