building_type,climate_zone,year_built,weekly_hours,gfa,fifth_percentile,twenty_fifth_percentile,median,mean,seventy_fifth_percentile,ninety_fifth_percentile,climate_zone_description,year_reported,row_count
All,All,1946-1959,40-48,"1,000 - 4,999",27.95,55.05,74.5,81.712,100.2,141.51,All,2023,50-99
All,All,1946-1959,40-48,"1,000,000+",,,,,,,All,2023,≤5
All,All,1946-1959,40-48,"10,000 - 24,999",7.3,21.7,49.5,53.320567375886526,66.2,105.0,All,2023,100-249
All,All,1946-1959,40-48,"100,000 - 199,999",3.4600000000000004,15.3,43.95,41.28095238095238,53.075,107.38499999999993,All,2023,30-49
All,All,1946-1959,40-48,"200,000 - 499,999",10.345,39.125,50.9,51.86666666666667,65.2,85.61,All,2023,30-49
All,All,1946-1959,40-48,"25,000 - 49,999",6.140000000000001,22.799999999999997,43.4,51.77542857142857,66.19999999999999,113.44999999999999,All,2023,100-249
All,All,1946-1959,40-48,"5,000 - 9,999",15.41,39.95,59.6,75.81927710843374,79.65,116.09999999999995,All,2023,50-99
All,All,1946-1959,40-48,"50,000 - 99,999",5.250000000000001,18.700000000000003,35.3,46.41214953271028,61.15,124.65999999999968,All,2023,100-249
All,All,1946-1959,40-48,"500,000 - 999,999",3.6,8.95,33.85,30.533333333333335,48.25,56.175,All,2023,6-29
All,All,1946-1959,40-48,All,6.21,25.45,49.5,56.80904977375565,70.55,125.77999999999999,All,2023,500-999
All,All,1946-1959,48.01 - 60,"1,000 - 4,999",25.76,56.2,74.8,86.68936170212766,104.45,164.49999999999991,All,2023,30-49
All,All,1946-1959,48.01 - 60,"1,000,000+",,,,,,,All,2023,≤5
All,All,1946-1959,48.01 - 60,"10,000 - 24,999",9.649999999999999,29.849999999999998,47.650000000000006,64.89926470588236,70.95,177.8,All,2023,100-249
All,All,1946-1959,48.01 - 60,"100,000 - 199,999",3.55,18.7,44.9,50.703603603603604,68.65,144.6,All,2023,100-249
All,All,1946-1959,48.01 - 60,"200,000 - 499,999",5.1,21.3,43.1,54.75737704918033,71.8,155.3,All,2023,50-99
All,All,1946-1959,48.01 - 60,"25,000 - 49,999",6.5,23.2,46.5,60.22394366197183,72.3,156.21999999999997,All,2023,100-249
All,All,1946-1959,48.01 - 60,"5,000 - 9,999",15.74,38.8,61.4,73.17640449438203,84.4,128.47999999999996,All,2023,50-99
All,All,1946-1959,48.01 - 60,"50,000 - 99,999",5.015000000000001,14.725,36.25,52.037654320987656,64.925,156.42999999999986,All,2023,100-249
All,All,1946-1959,48.01 - 60,"500,000 - 999,999",6.95,37.7,52.95,55.975,64.7,124.21500000000002,All,2023,6-29
All,All,1946-1959,48.01 - 60,All,5.8,24.25,48.1,60.98813760379597,73.4,155.57999999999998,All,2023,500-999
All,All,1946-1959,60.01 - 84,"1,000 - 4,999",6.55,22.55,54.9,74.6304347826087,100.3,241.45999999999992,All,2023,6-29
All,All,1946-1959,60.01 - 84,"1,000,000+",,,,,,,All,2023,≤5
All,All,1946-1959,60.01 - 84,"10,000 - 24,999",9.709999999999999,28.9,55.1,78.44146341463414,87.44999999999999,220.45999999999992,All,2023,100-249
All,All,1946-1959,60.01 - 84,"100,000 - 199,999",7.72,30.4,52.5,58.494805194805195,72.9,123.08,All,2023,50-99
All,All,1946-1959,60.01 - 84,"200,000 - 499,999",5.8,37.575,51.2,69.18620689655172,78.94999999999999,140.4749999999999,All,2023,50-99
All,All,1946-1959,60.01 - 84,"25,000 - 49,999",10.325,33.25,56.2,77.64537037037037,91.14999999999999,212.0,All,2023,100-249
All,All,1946-1959,60.01 - 84,"5,000 - 9,999",21.87,33.75,59.3,67.73589743589744,93.4,142.74,All,2023,30-49
All,All,1946-1959,60.01 - 84,"50,000 - 99,999",4.825,26.549999999999997,49.5,59.53846153846154,77.4,144.975,All,2023,100-249
All,All,1946-1959,60.01 - 84,"500,000 - 999,999",26.720000000000002,41.2,66.2,65.06923076923077,77.4,121.87999999999995,All,2023,6-29
All,All,1946-1959,60.01 - 84,All,7.7700000000000005,31.275,53.9,70.01567796610169,83.6,184.34499999999997,All,2023,500-999
All,All,1946-1959,84.01-167,"1,000 - 4,999",17.75,29.95,56.9,114.85,168.75,300.225,All,2023,6-29
All,All,1946-1959,84.01-167,"1,000,000+",,,,,,,All,2023,≤5
All,All,1946-1959,84.01-167,"10,000 - 24,999",35.55,53.3,75.9,112.13225806451612,129.4,294.75,All,2023,30-49
All,All,1946-1959,84.01-167,"100,000 - 199,999",16.720000000000002,49.349999999999994,74.8,104.94615384615385,118.85,305.0900000000001,All,2023,30-49
All,All,1946-1959,84.01-167,"200,000 - 499,999",9.59,20.65,40.3,53.07666666666667,76.325,126.83999999999996,All,2023,30-49
All,All,1946-1959,84.01-167,"25,000 - 49,999",24.4,56.3,85.4,145.41475409836065,198.7,343.0,All,2023,50-99
All,All,1946-1959,84.01-167,"5,000 - 9,999",18.12,47.45,64.65,76.575,99.07499999999999,157.59499999999997,All,2023,6-29
All,All,1946-1959,84.01-167,"50,000 - 99,999",11.7,51.875,95.80000000000001,124.39852941176471,201.575,252.14999999999995,All,2023,50-99
All,All,1946-1959,84.01-167,"500,000 - 999,999",4.34,36.775,96.15,80.23,101.2,153.82499999999993,All,2023,6-29
All,All,1946-1959,84.01-167,All,12.775,48.75,77.85,112.657421875,151.8,291.45,All,2023,250-500
All,All,1946-1959,All,"1,000 - 4,999",20.150000000000002,51.625,74.45,91.12735849056604,106.225,226.5849999999998,All,2023,100-249
All,All,1946-1959,All,"1,000,000+",12.530000000000001,47.25,70.6,103.78260869565217,115.9,301.6799999999999,All,2023,6-29
All,All,1946-1959,All,"10,000 - 24,999",9.1,28.8,53.8,66.70729366602687,74.7,176.9,All,2023,500-999
All,All,1946-1959,All,"100,000 - 199,999",4.19,25.25,51.0,64.56789297658862,79.19999999999999,165.28999999999994,All,2023,250-500
All,All,1946-1959,All,"200,000 - 499,999",5.8,33.5,51.0,66.91690821256039,80.15,174.32999999999993,All,2023,100-249
All,All,1946-1959,All,"25,000 - 49,999",7.1,29.075000000000003,51.5,74.52526455026455,83.025,228.02499999999998,All,2023,500-999
All,All,1946-1959,All,"5,000 - 9,999",15.5,41.0,64.4,75.49634551495016,92.2,146.7,All,2023,250-500
All,All,1946-1959,All,"50,000 - 99,999",5.0,21.9,47.6,65.72258652094717,79.7,206.04000000000005,All,2023,500-999
All,All,1946-1959,All,"500,000 - 999,999",3.495,28.400000000000002,56.099999999999994,63.288333333333334,96.125,150.91,All,2023,50-99
All,All,1946-1959,All,All,6.5,29.7,54.0,71.23039617486339,84.42500000000001,198.52500000000003,All,2023,"2,500-9,999"
All,All,1946-1959,Fewer than 40,"1,000 - 4,999",22.7,50.5,78.4,105.08095238095238,97.9,279.9,All,2023,6-29
All,All,1946-1959,Fewer than 40,"1,000,000+",,,,,,,All,2023,≤5
All,All,1946-1959,Fewer than 40,"10,000 - 24,999",8.6,17.049999999999997,27.4,37.997368421052634,47.275,79.07,All,2023,30-49
All,All,1946-1959,Fewer than 40,"100,000 - 199,999",7.595000000000001,22.45,42.35,48.55,67.575,102.42999999999999,All,2023,6-29
All,All,1946-1959,Fewer than 40,"200,000 - 499,999",43.98,53.5,61.2,69.91111111111111,69.5,117.41999999999999,All,2023,6-29
All,All,1946-1959,Fewer than 40,"25,000 - 49,999",4.75,22.1,39.2,40.949019607843134,51.35,87.9,All,2023,50-99
All,All,1946-1959,Fewer than 40,"5,000 - 9,999",14.71,28.75,58.6,61.24814814814815,77.65,129.95,All,2023,6-29
All,All,1946-1959,Fewer than 40,"50,000 - 99,999",3.6350000000000002,13.049999999999999,30.799999999999997,31.625,39.625,70.72,All,2023,6-29
All,All,1946-1959,Fewer than 40,"500,000 - 999,999",,,,,,,All,2023,≤5
All,All,1946-1959,Fewer than 40,All,5.55,21.525,41.4,51.7625,64.75,119.575,All,2023,100-249
All,All,1946-1959,Open Continuously,"1,000 - 4,999",22.31,55.875,90.45,112.5975,136.15,312.98999999999967,All,2023,30-49
All,All,1946-1959,Open Continuously,"1,000,000+",11.18,70.1,115.3,124.44444444444444,168.9,274.32,All,2023,6-29
All,All,1946-1959,Open Continuously,"10,000 - 24,999",33.255,58.15,71.75,73.87884615384615,87.6,128.39999999999998,All,2023,50-99
All,All,1946-1959,Open Continuously,"100,000 - 199,999",34.03,82.55,111.9,134.47727272727272,150.8,248.95,All,2023,6-29
All,All,1946-1959,Open Continuously,"200,000 - 499,999",41.17,63.45,112.7,143.2263157894737,211.6,309.01999999999975,All,2023,6-29
All,All,1946-1959,Open Continuously,"25,000 - 49,999",7.6,68.375,133.2,168.065,224.425,383.90499999999975,All,2023,30-49
All,All,1946-1959,Open Continuously,"5,000 - 9,999",32.29,58.55,85.4,91.10363636363637,103.55000000000001,185.15999999999977,All,2023,50-99
All,All,1946-1959,Open Continuously,"50,000 - 99,999",15.350000000000001,65.125,102.3,119.60833333333333,172.25,265.6,All,2023,30-49
All,All,1946-1959,Open Continuously,"500,000 - 999,999",2.9,15.2,100.3,86.55555555555556,127.0,172.22,All,2023,6-29
All,All,1946-1959,Open Continuously,All,17.62,60.45,89.35,113.34609929078015,137.45,307.2599999999999,All,2023,250-500
All,All,1960-1979,40-48,"1,000 - 4,999",27.880000000000003,61.0,82.6,88.91848906560637,107.85,167.55999999999983,All,2023,500-999
All,All,1960-1979,40-48,"1,000,000+",26.96,44.8,55.3,60.59230769230769,79.9,100.93999999999997,All,2023,6-29
All,All,1960-1979,40-48,"10,000 - 24,999",7.6850000000000005,25.1,46.2,56.2326359832636,74.425,131.47499999999994,All,2023,250-500
All,All,1960-1979,40-48,"100,000 - 199,999",3.4,19.4,44.2,61.401293103448275,67.075,153.87999999999974,All,2023,100-249
All,All,1960-1979,40-48,"200,000 - 499,999",4.1899999999999995,30.35,44.15,55.613846153846154,62.800000000000004,126.26499999999997,All,2023,100-249
